aasqa,date_maj,etat,lib_zone,lib_pol,date_ech,date_dif,code_zone,code_pol
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-DE-HAUTE-PROVENCE,Particules PM10,2025-06-26,2025/06/27,4,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-DE-HAUTE-PROVENCE,Ozone,2025-06-26,2025/06/27,4,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-DE-HAUTE-PROVENCE,Particules PM10,2025-06-27,2025/06/27,4,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-DE-HAUTE-PROVENCE,Ozone,2025-06-27,2025/06/27,4,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-DE-HAUTE-PROVENCE,Particules PM10,2025-06-28,2025/06/27,4,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-DE-HAUTE-PROVENCE,Ozone,2025-06-28,2025/06/27,4,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,HAUTES-ALPES,Particules PM10,2025-06-26,2025/06/27,5,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,HAUTES-ALPES,Ozone,2025-06-26,2025/06/27,5,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,HAUTES-ALPES,Particules PM10,2025-06-27,2025/06/27,5,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,HAUTES-ALPES,Ozone,2025-06-27,2025/06/27,5,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,HAUTES-ALPES,Particules PM10,2025-06-28,2025/06/27,5,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,HAUTES-ALPES,Ozone,2025-06-28,2025/06/27,5,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-MARITIMES,Particules PM10,2025-06-26,2025/06/27,6,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-MARITIMES,Ozone,2025-06-26,2025/06/27,6,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-MARITIMES,Particules PM10,2025-06-27,2025/06/27,6,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-MARITIMES,Ozone,2025-06-27,2025/06/27,6,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-MARITIMES,Particules PM10,2025-06-28,2025/06/27,6,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,ALPES-MARITIMES,Ozone,2025-06-28,2025/06/27,6,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,BOUCHES-DU-RHÔNE,Particules PM10,2025-06-26,2025/06/27,13,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,BOUCHES-DU-RHÔNE,Ozone,2025-06-26,2025/06/27,13,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,BOUCHES-DU-RHÔNE,Particules PM10,2025-06-27,2025/06/27,13,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,BOUCHES-DU-RHÔNE,Ozone,2025-06-27,2025/06/27,13,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,BOUCHES-DU-RHÔNE,Particules PM10,2025-06-28,2025/06/27,13,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,BOUCHES-DU-RHÔNE,Ozone,2025-06-28,2025/06/27,13,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAR,Particules PM10,2025-06-26,2025/06/27,83,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAR,Ozone,2025-06-26,2025/06/27,83,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAR,Particules PM10,2025-06-27,2025/06/27,83,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAR,Ozone,2025-06-27,2025/06/27,83,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAR,Particules PM10,2025-06-28,2025/06/27,83,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAR,Ozone,2025-06-28,2025/06/27,83,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAUCLUSE,Particules PM10,2025-06-26,2025/06/27,84,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAUCLUSE,Ozone,2025-06-26,2025/06/27,84,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAUCLUSE,Particules PM10,2025-06-27,2025/06/27,84,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAUCLUSE,Ozone,2025-06-27,2025/06/27,84,7
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAUCLUSE,Particules PM10,2025-06-28,2025/06/27,84,5
93,2025-06-27 14:32:05.802000+02:00,PAS DE DEPASSEMENT,VAUCLUSE,Ozone,2025-06-28,2025/06/27,84,7
