aasqa;date_maj;alerte;code_ambr;code_arm;code_aul;code_boul;code_gram;code_oliv;code_zone;conc_ambr;conc_arm;conc_aul;conc_boul;conc_gram;conc_oliv;date_dif;date_ech;lib_qual;lib_zone;type_zone;pollen_resp;source;code_qual;name
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;1;1;5061;0.1;0.1;0;0;2.1;0;2025/09/01;2025-09-01;Très faible;Gap;commune;ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA;AtmoSud;1;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;1;1;4070;0.6;0.0;0;0;2.8;0;2025/09/01;2025-09-01;Très faible;Digne-les-Bains;commune;ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA;AtmoSud;1;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;84007;1.7;0.4;0;0;3.8;0;2025/09/01;2025-09-01;Faible;Avignon;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;6088;0.4;0.2;0;0;3.1;0;2025/09/01;2025-09-01;Faible;Nice;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;13004;0.6;0.2;0;0;4.4;0;2025/09/01;2025-09-01;Faible;Arles;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;2;1;1;1;1;1;13001;3.2;0.1;0;0;2.9;0;2025/09/01;2025-09-01;Faible;Aix-en-Provence;commune;AMBROSIA;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;13055;0.6;0.2;0;0;3.0;0;2025/09/01;2025-09-01;Faible;Marseille;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;1;1;83137;0.1;0.0;0;0;2.8;0;2025/09/01;2025-09-01;Très faible;Toulon;commune;ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA;AtmoSud;1;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;5061;1.0;0.1;0;0;3.4;0;2025/09/01;2025-09-02;Faible;Gap;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;2;1;1;1;2;1;4070;3.3;0.1;0;0;3.1;0;2025/09/01;2025-09-02;Faible;Digne-les-Bains;commune;AMBROSIA GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;2;1;1;1;2;1;84007;9.1;1.8;0;0;3.5;0;2025/09/01;2025-09-02;Faible;Avignon;commune;AMBROSIA GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;6088;0.3;0.2;0;0;3.1;0;2025/09/01;2025-09-02;Faible;Nice;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;13004;1.9;0.3;0;0;4.7;0;2025/09/01;2025-09-02;Faible;Arles;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;2;1;1;1;1;1;13001;5.2;0.4;0;0;2.9;0;2025/09/01;2025-09-02;Faible;Aix-en-Provence;commune;AMBROSIA;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;1;1;13055;1.0;0.4;0;0;2.6;0;2025/09/01;2025-09-02;Très faible;Marseille;commune;ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA;AtmoSud;1;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;1;1;83137;0.7;0.2;0;0;2.5;0;2025/09/01;2025-09-02;Très faible;Toulon;commune;ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA;AtmoSud;1;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;5061;0.9;0.3;0;0;3.7;0;2025/09/01;2025-09-03;Faible;Gap;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;4070;2.0;0.2;0;0;3.5;0;2025/09/01;2025-09-03;Faible;Digne-les-Bains;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;2;2;1;1;2;1;84007;3.1;3.2;0;0;5.7;0;2025/09/01;2025-09-03;Faible;Avignon;commune;AMBROSIA ARTEMISI GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;1;1;6088;0.6;0.3;0;0;2.8;0;2025/09/01;2025-09-03;Très faible;Nice;commune;ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA;AtmoSud;1;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;13004;0.4;0.6;0;0;6.5;0;2025/09/01;2025-09-03;Faible;Arles;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;2;1;1;1;2;1;13001;3.9;0.6;0;0;4.3;0;2025/09/01;2025-09-03;Faible;Aix-en-Provence;commune;AMBROSIA GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;13055;0.7;0.5;0;0;3.9;0;2025/09/01;2025-09-03;Faible;Marseille;commune;GRAMINEE;AtmoSud;2;
93;2025/09/01 17:35:03.014+02;0;1;1;1;1;2;1;83137;0.2;0.3;0;0;3.0;0;2025/09/01;2025-09-03;Faible;Toulon;commune;GRAMINEE;AtmoSud;2;
